Ai	Aj	Bi	Bj	length	distance	complex	cov	mfe	comp	p-value	shapeA	shapeB	length_ex	mfe_ex	comp_ex	p-value_ex	Aseg	Bseg	Aseg_i	Aseg_j	Bseg_i	Bseg_j
2	9	12370	12377	8	12361	0.75	6	-13.49	0.19	0.01029291124862819	-100	-100	8	-12.58	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP6	2	9	1460	1467
4	9	5681	5686	6	5672	0.76	6	-10.11	0.16	0.012545500892213957	-100	-100	9	-14.74	0.16	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	4	9	759	764
4	9	14150	14155	6	14141	0.75	6	-10.49	0.19	0.02442691876480574	-100	-100	8	-9.5	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	4	9	471	476
4	11	13741	13748	8	13730	0.73	6	-12.79	0.2	0.019006452905884652	-100	-100	12	-14.99	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	4	11	62	69
7	12	11780	11785	6	11768	0.83	6	-10.56	0.19	0.02390565343773987	-100	-100	10	-12.41	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP6	7	12	870	875
7	13	13957	13963	7	13944	0.83	7	-11.8	0.18	0.026653811450818465	-100	-100	9	-9.4	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	7	13	278	284
8	12	10091	10095	5	10079	0.8	6	-10.82	0.2	0.03571222375057814	-100	-100	8	-13.27	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	8	12	866	870
8	13	3890	3895	6	3877	0.79	7	-11.04	0.21	0.015152718499595319	-100	-100	14	-12.69	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	8	13	1429	1434
8	14	10115	10121	7	10101	0.81	7	-14.03	0.19	0.025979668105498344	-100	-100	16	-18.66	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	8	14	890	896
30	35	3377	3382	6	3342	0.7	10	-10.51	0.22	0.024858434084095826	-100	-100	6	-8.76	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	30	35	916	921
58	64	9257	9263	7	9193	0.95	8	-11.56	0.19	0.023423745033004373	-100	-100	13	-16.63	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	58	64	32	38
59	65	8821	8827	7	8756	0.93	10	-12.28	0.24	0.029621443827106186	-100	-100	7	-10.98	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP4	59	65	1545	1551
60	65	7584	7589	6	7519	0.93	10	-10.93	0.24	0.021350429203265575	-100	-100	10	-10.3	0.26	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP4	60	65	308	313
62	69	2740	2747	8	2671	0.92	10	-13.62	0.26	0.01982977374698658	-100	-100	15	-19.61	0.25	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	62	69	279	286
66	70	11819	11823	5	11749	0.89	10	-10.24	0.25	0.015657254528400277	-100	-100	15	-22.24	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP6	66	70	909	913
67	72	14372	14377	6	14300	0.88	10	-12.63	0.18	0.04535992835064451	-100	-100	13	-13.96	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	67	72	693	698
67	73	3272	3278	7	3199	0.87	10	-11.51	0.18	0.04995997525149731	-100	-100	17	-20.32	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	67	73	811	817
69	74	4959	4964	6	4885	0.94	10	-13.21	0.16	0.03383612721379581	-100	-100	11	-16.9	0.16	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	69	74	37	42
77	83	13348	13354	7	13265	0.93	10	-11.18	0.16	0.04245792810029969	-100	-100	11	-12.09	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	77	83	816	822
95	102	4624	4631	8	4522	0.79	10	-14.23	0.22	0.0321250234839171	-100	-100	15	-16.61	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	95	102	2163	2170
98	104	10474	10480	7	10370	0.8	10	-12.7	0.2	0.03768374070853897	-100	-100	11	-17.19	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	98	104	1249	1255
98	104	10555	10561	7	10451	0.77	10	-10.75	0.2	0.04037710096974434	-100	-100	11	-19.61	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	98	104	1330	1336
100	105	5325	5330	6	5220	0.85	10	-11.51	0.25	0.022268966001585344	-100	-100	8	-14.67	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	100	105	403	408
101	107	14009	14015	7	13902	0.83	10	-12.24	0.2	0.044794189312539534	-100	-100	13	-13.88	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	101	107	330	336
103	107	11476	11480	5	11369	0.85	10	-10.57	0.18	0.043116112056489575	-100	-100	12	-12.69	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP6	103	107	566	570
106	114	7000	7008	9	6886	0.86	10	-17.28	0.16	0.03935947781859239	-100	-100	17	-23.88	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	106	114	2078	2086
108	114	4633	4639	7	4519	0.76	10	-13.82	0.21	0.03418884184794002	-100	-100	16	-23.03	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	108	114	2172	2178
108	114	10428	10434	7	10314	0.75	10	-13.19	0.18	0.03286092495980597	-100	-100	15	-24.84	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	108	114	1203	1209
108	114	13118	13124	7	13004	0.79	10	-12.49	0.21	0.03347355932465179	-100	-100	11	-14.57	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	108	114	586	592
110	114	6609	6613	5	6495	0.7	10	-11.93	0.2	0.033474919276476944	-100	-100	10	-15.22	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	110	114	1687	1691
110	116	5409	5415	7	5293	0.73	10	-13.92	0.16	0.025969828514773363	-100	-100	12	-14.74	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	110	116	487	493
110	116	5490	5496	7	5374	0.76	10	-14.37	0.19	0.027452303755997276	-100	-100	13	-19.35	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	110	116	568	574
110	116	12689	12695	7	12573	0.73	10	-11.6	0.21	0.037928110575397356	-100	-100	15	-12.96	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	110	116	157	163
111	115	12331	12335	5	12216	0.76	10	-10.98	0.15	0.04235826480677829	-100	-100	9	-14.01	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP6	111	115	1421	1425
111	115	12989	12993	5	12874	0.74	10	-12.97	0.16	0.0439342886176215	-100	-100	12	-19.53	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	111	115	457	461
111	116	2759	2764	6	2643	0.7	10	-12.22	0.22	0.04009489907077746	-100	-100	9	-12.1	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	111	116	298	303
111	116	5202	5207	6	5086	0.74	10	-13.25	0.16	0.02230715492859703	-100	-100	11	-16.19	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	111	116	280	285
111	116	6800	6805	6	6684	0.7	10	-14.69	0.19	0.041557291180255196	-100	-100	11	-17.4	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	111	116	1878	1883
128	134	10633	10639	7	10499	0.92	10	-11.0	0.2	0.022325160387167586	-100	-100	12	-14.74	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	128	134	1408	1414
129	134	6492	6497	6	6358	0.87	10	-10.89	0.23	0.01241204640290794	-100	-100	16	-14.56	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	129	134	1570	1575
131	136	5796	5801	6	5660	0.82	10	-12.17	0.22	0.031320295422485156	-100	-100	15	-20.01	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	131	136	874	879
131	136	9314	9319	6	9178	0.76	10	-10.88	0.25	0.03567304340025568	-100	-100	8	-11.1	0.23	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	131	136	89	94
132	139	13370	13377	8	13231	0.83	10	-10.23	0.23	0.03947019625404391	-100	-100	20	-19.31	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	132	139	838	845
133	139	6571	6577	7	6432	0.79	10	-10.32	0.22	0.03759488244711662	-100	-100	11	-19.54	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	133	139	1649	1655
133	141	13253	13261	9	13112	0.71	10	-12.97	0.2	0.02772728201493191	-100	-100	13	-16.39	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	133	141	721	729
135	140	7073	7078	6	6933	0.79	10	-11.29	0.22	0.034572203551061054	-100	-100	11	-13.87	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	135	140	2151	2156
137	142	10657	10662	6	10515	0.85	10	-10.18	0.22	0.028582966679717492	-100	-100	6	-9.21	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	137	142	1432	1437
140	146	12709	12715	7	12563	0.84	10	-14.61	0.21	0.014227079169879198	-100	-100	12	-18.77	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	140	146	177	183
142	147	5949	5954	6	5802	0.79	10	-10.44	0.18	0.030566958296307845	-100	-100	8	-9.15	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	142	147	1027	1032
143	150	2507	2514	8	2357	0.65	10	-10.21	0.23	0.028078561332335328	-100	-100	12	-12.23	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	143	150	46	53
144	150	5612	5618	7	5462	0.76	10	-12.7	0.16	0.008772549364950755	-100	-100	12	-17.54	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	144	150	690	696
149	155	7042	7048	7	6887	0.62	10	-10.61	0.19	0.04501101570737431	-100	-100	15	-16.0	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	149	155	2120	2126
173	178	13220	13225	6	13042	0.87	10	-10.11	0.16	0.02506533163235758	-100	-100	13	-14.92	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	173	178	688	693
173	181	12595	12603	9	12414	0.84	10	-14.26	0.2	0.029045503836374498	-100	-100	20	-21.42	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	173	181	63	71
177	184	7116	7123	8	6932	0.82	8	-11.88	0.21	0.029730400641914234	-100	-100	12	-14.5	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	177	184	2194	2201
179	184	12928	12933	6	12744	0.78	10	-10.81	0.22	0.045352635885752446	-100	-100	14	-18.29	0.25	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	179	184	396	401
179	185	13170	13176	7	12985	0.84	10	-10.14	0.23	0.03793819033032053	-100	-100	17	-17.55	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	179	185	638	644
181	186	3499	3504	6	3313	0.77	10	-10.13	0.21	0.022291936629987186	-100	-100	9	-10.29	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	181	186	1038	1043
181	187	13325	13331	7	13138	0.76	10	-10.34	0.22	0.032881010991498316	-100	-100	17	-15.39	0.24	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	181	187	793	799
197	203	13492	13498	7	13289	0.92	10	-11.7	0.21	0.024700439038693567	-100	-100	9	-12.13	0.21	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	197	203	960	966
224	230	2998	3004	7	2768	0.75	10	-12.39	0.22	0.017549010645407814	-100	-100	7	-10.59	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	224	230	537	543
224	230	3905	3911	7	3675	0.74	10	-13.48	0.25	0.013566553733528997	-100	-100	11	-13.71	0.25	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	224	230	1444	1450
224	230	4494	4500	7	4264	0.75	10	-11.12	0.17	0.023609762803913803	-100	-100	15	-19.07	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	224	230	2033	2039
224	230	9868	9874	7	9638	0.75	10	-12.62	0.26	0.018332608307969567	-100	-100	9	-11.4	0.25	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	224	230	643	649
224	232	5239	5247	9	5007	0.76	10	-12.71	0.24	0.037923920901328234	-100	-100	13	-13.68	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	224	232	317	325
225	230	13345	13350	6	13115	0.75	10	-11.15	0.24	0.018667650482355302	-100	-100	13	-10.93	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	225	230	813	818
227	232	12655	12660	6	12423	0.65	10	-11.44	0.24	0.03945760786992125	-100	-100	13	-16.57	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	227	232	123	128
241	248	4790	4797	8	4542	0.72	6	-12.55	0.21	0.0378445367456246	-100	-100	14	-15.14	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP2	241	248	2329	2336
241	248	7144	7151	8	6896	0.72	7	-11.13	0.18	0.029436041166068794	-100	-100	13	-10.67	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP3	241	248	2222	2229
241	248	9093	9100	8	8845	0.72	7	-12.25	0.19	0.03219553219108917	-100	-100	10	-11.24	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP4	241	248	1817	1824
241	248	10778	10785	8	10530	0.72	7	-12.25	0.19	0.028025845080794975	-100	-100	13	-13.36	0.2	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	241	248	1553	1560
241	248	12400	12407	8	12152	0.73	7	-10.75	0.19	0.027380247194551566	-100	-100	9	-7.9	0.19	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP6	241	248	1490	1497
241	248	13547	13554	8	13299	0.72	6	-12.07	0.19	0.02387911638564888	-100	-100	10	-10.95	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	241	248	1015	1022
241	248	14557	14564	8	14309	0.72	6	-12.3	0.19	0.03792464514628957	-100	-100	10	-10.85	0.18	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	241	248	878	885
259	263	14349	14353	5	14086	0.68	10	-10.06	0.17	0.0230861900366367	-100	-100	9	-9.57	0.17	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP8	259	263	670	674
259	264	13228	13233	6	12964	0.81	10	-11.01	0.24	0.03088675949516695	-100	-100	13	-14.28	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP7	259	264	696	701
259	265	10187	10193	7	9922	0.68	10	-11.46	0.24	0.023712409268787815	-100	-100	14	-11.87	0.22	NA	IAV_RNA-10_vRNP1	IAV_RNA-10_vRNP5	259	265	962	968
